mfh_id,official_name,normalized_name,alias_names,alias_pinyin,source_batch,source_year,announcement_no,restriction_note,source_url,status,herb_id,herb_link,herb_pinyin_name,herb_chinese_name,herb_english_name,herb_latin_name,match_confidence,source_database,compound_name_cn,compound_name_en,pubchem_query_name,compound_category,include_for_model,exclusion_reason,evidence_note,evidence_source_url,pubchem_cid,pubchem_canonical_smiles,pubchem_isomeric_smiles,pubchem_formula,pubchem_molecular_weight,pubchem_inchi,pubchem_inchikey,rdkit_valid,rdkit_error,standardized_smiles,standardized_inchi,standardized_inchikey,rdkit_formula,rdkit_exact_mw,rdkit_heavy_atom_count
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,十六烷酸,hexadecanoic acid,palmitic acid,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,985,CCCCCCCCCCCCCCCC(=O)O,CCCCCCCCCCCCCCCC(=O)O,C16H32O2,256.42,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,True,,CCCCCCCCCCCCCCCC(=O)O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,C16H32O2,256.240230264,18
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,磷酸乙醇胺,phosphorylethanolamine,O-phosphoethanolamine,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,1015,C(COP(=O)(O)O)N,C(COP(=O)(O)O)N,C2H8NO4P,141.06,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)",SUHOOTKUPISOBE-UHFFFAOYSA-N,True,,NCCOP(=O)(O)O,"InChI=1S/C2H8NO4P/c3-1-2-7-8(4,5)6/h1-3H2,(H2,4,5,6)",SUHOOTKUPISOBE-UHFFFAOYSA-N,C2H8NO4P,141.01909436600002,8
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,磷酸胆碱,phosphorylcholine,phosphocholine,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,1014,C[N+](C)(C)CCOP(=O)(O)O,C[N+](C)(C)CCOP(=O)(O)O,C5H15NO4P+,184.15,"InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)/p+1",YHHSONZFOIEMCP-UHFFFAOYSA-O,True,,C[N+](C)(C)CCOP(=O)(O)O,"InChI=1S/C5H14NO4P/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3,(H-,7,8,9)/p+1",YHHSONZFOIEMCP-UHFFFAOYSA-O,C5H15NO4P+,184.07332101008998,11
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,磷酸丝氨酸,phosphoserine,O-phospho-L-serine,single_small_molecule,True,,CloudTCM 成分列表,https://cloudtcm.com/herb/4238,68841,C(C(C(=O)O)N)OP(=O)(O)O,C([C@@H](C(=O)O)N)OP(=O)(O)O,C3H8NO6P,185.07,"InChI=1S/C3H8NO6P/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H2,7,8,9)/t2-/m0/s1",BZQFBWGGLXLEPQ-REOHCLBHSA-N,True,,NC(COP(=O)(O)O)C(=O)O,"InChI=1S/C3H8NO6P/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H2,7,8,9)",BZQFBWGGLXLEPQ-UHFFFAOYSA-N,C3H8NO6P,185.00892360600002,11
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,脂肪,fat,,generic_class,False,泛称，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,脂质,lipid,,generic_class,False,泛称，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,挥发油,volatile oil,,mixture,False,混合物，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,混合物，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,奇数碳脂肪酸,odd-chain fatty acids,,generic_class,False,泛称，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,磷脂,phospholipid,,generic_class,False,泛称，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,三酰甘油,triglyceride,,generic_class,False,泛称，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,磷酸肌醇,phosphoinositide,,generic_class,False,泛称/脂质类别，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称/脂质类别，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,神经鞘磷脂,sphingomyelin,,generic_class,False,泛称/脂质类别，不是单一结构,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,泛称/脂质类别，不是单一结构,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,卵磷脂酶,phospholipase,,protein_or_enzyme,False,蛋白/酶，不适合当前小分子模型,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,蛋白/酶，不适合当前小分子模型,,,,,,
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MANUAL_FUSHE,,FU SHE,蝮蛇,Pallas's Pit Viper,Agkistrodon halys (Pallas); Gloydius halys,manual_supplement_non_HERB,manual_supplement,出血毒质,hemorrhagic toxin,,protein_or_toxin,False,毒素类大分子，不适合当前小分子模型,蝮蛇成分记录，但不适合当前小分子结构模型,https://www.cntcm.org/yao/fushe.html;https://cloudtcm.com/herb/4238,,,,,,,,False,毒素类大分子，不适合当前小分子模型,,,,,,
