mfh_id,official_name,normalized_name,alias_names,alias_pinyin,source_batch,source_year,announcement_no,restriction_note,source_url,status,search_term,herb_id,herb_link,herb_pinyin_name,herb_chinese_name,herb_english_name,herb_latin_name
MFH0003,刀豆,刀豆,刀豆,DAO DOU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,DAO DOU,HERB001215,/Detail/?v=HERB001215&label=Herb,DAO DOU,刀豆,Jack Bean,Semen Cavaliae
MFH0003,刀豆,刀豆,刀豆,DAO DOU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,DAO DOU,HERB006378,/Detail/?v=HERB006378&label=Herb,YANG DAO DOU,洋刀豆,Sword-bean,Canavalia ensiformis
MFH0004,小茴香,小茴香,小茴香,XIAO HUI XIANG,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO HUI XIANG,HERB006121,/Detail/?v=HERB006121&label=Herb,XIAO HUI XIANG,小茴香,fennel fruit,fructus Foeniculi
MFH0005,小蓟,小蓟,小蓟,XIAO JI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO JI,HERB006122,/Detail/?v=HERB006122&label=Herb,XIAO JI,小蓟,Field Thistle Herb,Herba Cirsii;Herba Cirsii segeti
MFH0005,小蓟,小蓟,小蓟,XIAO JI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO JI,HERB006123,/Detail/?v=HERB006123&label=Herb,XIAO JIAN CAO,小箭草,Bulbiferous Stonecrop,Sedum bulbiferum
MFH0005,小蓟,小蓟,小蓟,XIAO JI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO JI,HERB006124,/Detail/?v=HERB006124&label=Herb,XIAO JIAO HAI YING SU,小脚海罂粟,Black-spot Hornpoppy,Glaucium corniculatum
MFH0005,小蓟,小蓟,小蓟,XIAO JI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO JI,HERB006125,/Detail/?v=HERB006125&label=Herb,XIAO JIAO ZHU HUA,小角柱花,"Creeping Ceratostigma, Creeping Bluesnow",Ceratostigma minus
MFH0005,小蓟,小蓟,小蓟,XIAO JI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO JI,HERB006126,/Detail/?v=HERB006126&label=Herb,XIAO JIE JIN CAO,小接筋草,Selago-like Climbing Fern,Huperzia selago [Syn. Lycopodium selago ]
MFH0005,小蓟,小蓟,小蓟,XIAO JI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO JI,HERB006127,/Detail/?v=HERB006127&label=Herb,XIAO JIN ZHAN HUA,小金盏花,Field Marigold,Calendula arvensis
MFH0005,小蓟,小蓟,小蓟,XIAO JI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO JI,HERB006128,/Detail/?v=HERB006128&label=Herb,XIAO JING DOU,小精豆,Small Gorse,Ulex minor
MFH0005,小蓟,小蓟,小蓟,XIAO JI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO JI,HERB006414,/Detail/?v=HERB006414&label=Herb,YANG YE XIAO JIN,杨叶肖槿,Portiatree,Thespesia populnea [Syn. Hibiscus populneus ]
MFH0005,小蓟,小蓟,小蓟,XIAO JI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XIAO JI,HERB007071,/Detail/?v=HERB007071&label=Herb,ZHONG HUA XIAO JIAN LIU SHAN HU,中华小尖柳珊瑚,Gorgonian Muricella sinensis,Muricella sinensis
MFH0006,山药,山药,山药,SHAN YAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN YAO,HERB002476,/Detail/?v=HERB002476&label=Herb,HUAI SHAN YAO,淮山药,rhizome of Biglcaf Yam,Rhizoma Dioscoreae
MFH0006,山药,山药,山药,SHAN YAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN YAO,HERB002573,/Detail/?v=HERB002573&label=Herb,HUANG SHAN YAO,黄山药,Yellow Ya m U s e d p a r t: rhizome,Dioscorea panthaica
MFH0006,山药,山药,山药,SHAN YAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN YAO,HERB004938,/Detail/?v=HERB004938&label=Herb,SHAN YAO,山药,Common Yam Rhizome,Rhizoma Dioscoreae
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB001208,/Detail/?v=HERB001208&label=Herb,DAN ZI SHAN ZHA,单子山楂,Common Hawthorn,Crataegus monogyna
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB001805,/Detail/?v=HERB001805&label=Herb,GAN SU SHAN ZHA,甘肃山楂,Kansu Hawthorn,Crataegus kansuensis
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB002358,/Detail/?v=HERB002358&label=Herb,HU BEI SHAN ZHA,湖北山楂,Hupeh Hawthorn,Crataegus hupehensis
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB003404,/Detail/?v=HERB003404&label=Herb,LIAO NING SHAN ZHA,辽宁山楂,Redhaw Hawthorn,Crataegus sanguinea
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB003556,/Detail/?v=HERB003556&label=Herb,LUAN DA SHAN ZHANG YA CAI,乱搭山獐牙菜,Randain Swertia,Swertia randainensis
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB003810,/Detail/?v=HERB003810&label=Herb,MAO SHAN ZHA,毛山楂,Maximowicz Hawthorn,Crataegus maximowiczii
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB004945,/Detail/?v=HERB004945&label=Herb,SHAN ZHA,山楂,Chinese Hawthorn Equivalent plant: Crataegus pinna,Crataegus pinnatifida
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB004946,/Detail/?v=HERB004946&label=Herb,SHAN ZHA HU,山楂核,Howthorn seed,Semen Crataegi
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB004947,/Detail/?v=HERB004947&label=Herb,SHAN ZHA HUA,山楂花,Chinese Hawthorn Flower,Crataegus pinnatifida
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB004948,/Detail/?v=HERB004948&label=Herb,SHAN ZHA YE,山楂叶,Crataegi Folium,NA
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB005740,/Detail/?v=HERB005740&label=Herb,WU MAO SHAN ZHA,无毛山楂,Hairless Chinese Hawthorn,Crataegus pinnatifida var. psilosa
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB006483,/Detail/?v=HERB006483&label=Herb,YE SHAN ZHA,野山楂,Nippon Hawthorn Equivalent plant: Crataegus sangui,Crataegus cuneata
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB006641,/Detail/?v=HERB006641&label=Herb,YING GUO SHAN ZHA,英国山楂,Hawthorn,Crataegus oxyacantha
MFH0007,山楂,山楂,山楂,SHAN ZHA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHAN ZHA,HERB006840,/Detail/?v=HERB006840&label=Herb,YUN NAN SHAN ZHA,云南山楂,Yunnan Hawthorn,Crataegus scabrifolia
MFH0008,马齿苋,马齿苋,马齿苋,MA CHI XIAN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MA CHI XIAN,HERB001057,/Detail/?v=HERB001057&label=Herb,DA HUA MA CHI XIAN,大花马齿苋,Largeflower Purslane,Portulaca grandiflora
MFH0008,马齿苋,马齿苋,马齿苋,MA CHI XIAN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MA CHI XIAN,HERB002755,/Detail/?v=HERB002755&label=Herb,JIA MA CHI XIAN,假马齿苋,Coastal Waterhyssop,Bacopa monniera
MFH0008,马齿苋,马齿苋,马齿苋,MA CHI XIAN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MA CHI XIAN,HERB003641,/Detail/?v=HERB003641&label=Herb,MA CHI XIAN,马齿苋,all-grass of Purslane,Herba Portulacae
MFH0008,马齿苋,马齿苋,马齿苋,MA CHI XIAN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MA CHI XIAN,HERB003798,/Detail/?v=HERB003798&label=Herb,MAO MA CHI XIAN,毛马齿苋,Pilose Purslane,Portulaca pilosa
MFH0009,乌梢蛇,乌梢蛇,乌梢蛇,WU SHAO SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,WU SHAO SHE,HERB005750,/Detail/?v=HERB005750&label=Herb,WU SHAO SHE,乌梢蛇,Black-tail Snake,Zaocys
MFH0010,乌梅,乌梅,乌梅,WU MEI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,WU MEI,HERB005742,/Detail/?v=HERB005742&label=Herb,WU MEI,乌梅,Smoked Plum,Fructus Mume
MFH0011,木瓜,木瓜,木瓜,MU GUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MU GUA,HERB001614,/Detail/?v=HERB001614&label=Herb,FAN MU GUA,番木瓜,Papaya Fruit,Carica papaya
MFH0011,木瓜,木瓜,木瓜,MU GUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MU GUA,HERB001615,/Detail/?v=HERB001615&label=Herb,FAN MU GUA YE,番木瓜叶,Papaya Leaf,Carica papaya
MFH0011,木瓜,木瓜,木瓜,MU GUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MU GUA,HERB002177,/Detail/?v=HERB002177&label=Herb,HE MU GUA,和木瓜,Chaenomeles japonica (Thunb.) Lindl.,NA
MFH0011,木瓜,木瓜,木瓜,MU GUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MU GUA,HERB004021,/Detail/?v=HERB004021&label=Herb,MU GUA,木瓜,fruit of Common Floweringquince,Fructus Chaenomelis
MFH0011,木瓜,木瓜,木瓜,MU GUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MU GUA,HERB004022,/Detail/?v=HERB004022&label=Herb,MU GUA GEN,木瓜根,Radix Chaenomelis speciosae,NA
MFH0011,木瓜,木瓜,木瓜,MU GUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MU GUA,HERB004023,/Detail/?v=HERB004023&label=Herb,MU GUA HE,木瓜核,Semen Chaenomelis speciosae,NA
MFH0011,木瓜,木瓜,木瓜,MU GUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MU GUA,HERB004024,/Detail/?v=HERB004024&label=Herb,MU GUA ZHI,木瓜枝,Ramulus et Folium Chaenomelis speciosa,NA
MFH0011,木瓜,木瓜,木瓜,MU GUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MU GUA,HERB004554,/Detail/?v=HERB004554&label=Herb,QIU MU GUA,秋木瓜,Common Floweringquince,Chaenomeles lagenaria [Syn. Chaenomeles speciosa]
MFH0011,木瓜,木瓜,木瓜,MU GUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MU GUA,HERB006476,/Detail/?v=HERB006476&label=Herb,YE MU GUA,野木瓜,Chinese Stauntonvine,Stauntonia chinensis
MFH0012,火麻仁,火麻仁,火麻仁,HUO MA REN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,HUO MA REN,HERB002640,/Detail/?v=HERB002640&label=Herb,HUO MA REN,火麻仁,Hemp Seed,Semen Canbis;Fructus Canbis
MFH0013,代代花,代代花,代代花,DAI DAI HUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,DAI DAI HUA,HERB001171,/Detail/?v=HERB001171&label=Herb,DAI DAI HUA,玳玳花,Citrus Aurantium,NA
MFH0014,玉竹,玉竹,玉竹,YU ZHU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,YU ZHU,HERB003099,/Detail/?v=HERB003099&label=Herb,KANG DING YU ZHU,康定玉竹,Pratt Solomonseal,Polygonatum prattii
MFH0014,玉竹,玉竹,玉竹,YU ZHU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,YU ZHU,HERB006754,/Detail/?v=HERB006754&label=Herb,YU ZHU,玉竹,Fragrant Solomonseal Rhizome,Rhizoma Polygoti Odorati
MFH0014,玉竹,玉竹,玉竹,YU ZHU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,YU ZHU,HERB006755,/Detail/?v=HERB006755&label=Herb,YU ZHUANG HE HUAN,羽状合欢,Cape Leeuwin Wattle,Albizzia lophantha
MFH0014,玉竹,玉竹,玉竹,YU ZHU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,YU ZHU,HERB006756,/Detail/?v=HERB006756&label=Herb,YU ZHUANG YUN XIANG,NA,Pinnate Rue,Ruta pinnata
