mfh_id,official_name,normalized_name,alias_names,alias_pinyin,source_batch,source_year,announcement_no,restriction_note,source_url,status,search_term,herb_id,herb_link,herb_pinyin_name,herb_chinese_name,herb_english_name,herb_latin_name,match_confidence
MFH0017,白果,白果,白果,BAI GUO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,BAI GUO,HERB000186,/Detail/?v=HERB000186&label=Herb,BAI GUO,白果,Ginkgo seed,Semen Ginkgo,exact_chinese
MFH0018,白扁豆,白扁豆,白扁豆,BAI BIAN DOU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,BAI BIAN DOU,HERB000161,/Detail/?v=HERB000161&label=Herb,BAI BIAN DOU,白扁豆,White Hyacinth Bean,Semen Lablab Album,exact_chinese
MFH0019,白扁豆花,白扁豆花,白扁豆花;扁豆花,BAI BIAN DOU HUA;BIAN DOU HUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,BIAN DOU HUA,HERB000453,/Detail/?v=HERB000453&label=Herb,BIAN DOU HUA,扁豆花,flower of Hyacinth Dolichos,Flos Dolichoris,exact_chinese
MFH0020,龙眼肉（桂圆）,龙眼肉,龙眼肉;桂圆,LONG YAN ROU;GUI YUAN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,LONG YAN ROU,HERB003498,/Detail/?v=HERB003498&label=Herb,LONG YAN ROU,龙眼肉,Longan Aril,Arillus Longan,exact_chinese
MFH0021,决明子,决明子,决明子,JUE MING ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,JUE MING ZI,HERB003070,/Detail/?v=HERB003070&label=Herb,JUE MING ZI,决明子,Cassia Seed,Semen Cassiae;Semen Sene,exact_chinese
MFH0022,百合,百合,百合,BAI HE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,BAI HE,HERB000192,/Detail/?v=HERB000192&label=Herb,BAI HE,百合,Bulb of Greenish Lily,Bulbus Lilii ,exact_chinese
MFH0023,肉豆蔻,肉豆蔻,肉豆蔻,ROU DOU KOU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,ROU DOU KOU,HERB004693,/Detail/?v=HERB004693&label=Herb,ROU DOU KOU,肉豆蔻,Nutmeg,Semen Myristicae,exact_chinese
MFH0024,肉桂,肉桂,肉桂,ROU GUI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,ROU GUI,HERB004694,/Detail/?v=HERB004694&label=Herb,ROU GUI,肉桂,Cassia Bark,Cortex Cinmomi,exact_chinese
MFH0025,余甘子,余甘子,余甘子,YU GAN ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,YU GAN ZI,HERB006714,/Detail/?v=HERB006714&label=Herb,YU GAN ZI,余甘子,Emblic Leafflower Fruit,Fructus Phyllanthi,exact_chinese
MFH0026,佛手,佛手,佛手,FO SHOU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,FO SHOU,HERB001734,/Detail/?v=HERB001734&label=Herb,FO SHOU,佛手,Finger Citron,Fructus Citri sarcodactylis,exact_chinese
MFH0027,杏仁（甜、苦）,杏仁,杏仁;甜杏仁;苦杏仁,XING REN;TIAN XING REN;KU XING REN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XING REN,HERB003174,/Detail/?v=HERB003174&label=Herb,KU XING REN,苦杏仁,bitter Apricot seed,Semen armeniacae amarum,exact_chinese
MFH0027,杏仁（甜、苦）,杏仁,杏仁;甜杏仁;苦杏仁,XING REN;TIAN XING REN;KU XING REN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,XING REN,HERB006236,/Detail/?v=HERB006236&label=Herb,XING REN,杏仁,Apricot Seed Equivalent plant: Prunus armeniaca va,Prunus armeniaca,exact_chinese
MFH0028,沙棘,沙棘,沙棘,SHA JI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHA JI,HERB004849,/Detail/?v=HERB004849&label=Herb,SHA JI,沙棘,fruit of seabuckthorn,fructus hippophae,exact_chinese
MFH0029,牡蛎,牡蛎,牡蛎,MU LI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MU LI,HERB004050,/Detail/?v=HERB004050&label=Herb,MU LI,牡蛎,Oyster,Crassostrea gigas,exact_chinese
MFH0030,芡实,芡实,芡实,QIAN SHI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,QIAN SHI,HERB004472,/Detail/?v=HERB004472&label=Herb,QIAN SHI,芡实,seed of Gordon Euryale,Semen Euryales,exact_chinese
MFH0031,花椒,花椒,花椒,HUA JIAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,HUA JIAO,HERB002424,/Detail/?v=HERB002424&label=Herb,HUA JIAO,花椒,Pricklyash Peel,Pericarpium Zanthoxyli,exact_chinese
MFH0032,赤小豆,赤小豆,赤小豆,CHI XIAO DOU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,CHI XIAO DOU,HERB000806,/Detail/?v=HERB000806&label=Herb,CHI XIAO DOU,赤小豆,Rice Bean,Semen Phaseoli,exact_chinese
MFH0033,阿胶,阿胶,阿胶,E JIAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,E JIAO,HERB001564,/Detail/?v=HERB001564&label=Herb,E JIAO,阿胶,Donkey hide gelatin,Colla Corii Asini,exact_chinese
MFH0034,鸡内金,鸡内金,鸡内金,JI NEI JIN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,JI NEI JIN,HERB002690,/Detail/?v=HERB002690&label=Herb,JI NEI JIN,鸡内金,Chicken’s Gizzard Endothelium,Gallus gallus domesticus,exact_chinese
MFH0035,麦芽,麦芽,麦芽,MAI YA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,MAI YA,HERB003715,/Detail/?v=HERB003715&label=Herb,MAI YA,麦芽,Germited Barley,Fructus Hordei Germitus,exact_chinese
MFH0036,昆布,昆布,昆布,KUN BU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,KUN BU,HERB003210,/Detail/?v=HERB003210&label=Herb,KUN BU,昆布,Kelp or Tangle,Thallus Lamiriae,exact_chinese
MFH0037,枣（大枣、酸枣、黑枣）,枣,枣;大枣;酸枣;黑枣,ZAO;DA ZAO;SUAN ZAO;HEI ZAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,ZAO,HERB001164,/Detail/?v=HERB001164&label=Herb,DA ZAO,大枣,Jujube Chinese date,Fructus Zizyphi Jujubae,exact_chinese
MFH0037,枣（大枣、酸枣、黑枣）,枣,枣;大枣;酸枣;黑枣,ZAO;DA ZAO;SUAN ZAO;HEI ZAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,ZAO,HERB005318,/Detail/?v=HERB005318&label=Herb,SUAN ZAO,酸枣,Spine Date,Ziziphus jujuba var. spinosa,exact_chinese
MFH0038,罗汉果,罗汉果,罗汉果,LUO HAN GUO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,LUO HAN GUO,HERB003582,/Detail/?v=HERB003582&label=Herb,LUO HAN GUO,罗汉果,Grosvenor Momordica Fruit,Fructus Momordicae,exact_chinese
MFH0039,郁李仁,郁李仁,郁李仁,YU LI REN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,YU LI REN,HERB006725,/Detail/?v=HERB006725&label=Herb,YU LI REN,郁李仁,Chinese Dwarf Cherry Seed,Semen Pruni,exact_chinese
MFH0040,金银花,金银花,金银花,JIN YIN HUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,JIN YIN HUA,HERB002962,/Detail/?v=HERB002962&label=Herb,JIN YIN HUA,金银花,Honeysuckle Flower,Flos Lonicerae,exact_chinese
MFH0041,青果,青果,青果,QING GUO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,QING GUO,HERB004519,/Detail/?v=HERB004519&label=Herb,QING GUO,青果,Carii Fructus,NA,exact_chinese
MFH0042,鱼腥草,鱼腥草,鱼腥草,YU XING CAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,YU XING CAO,HERB006741,/Detail/?v=HERB006741&label=Herb,YU XING CAO,鱼腥草,all-grass of Heartleaf Houttuynia,Herba Houttuyniae,exact_chinese
MFH0043,姜（生姜、干姜）,姜,姜;生姜;干姜,JIANG;SHENG JIANG;GAN JIANG,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,JIANG,HERB001787,/Detail/?v=HERB001787&label=Herb,GAN JIANG,干姜,Dried Ginger,Rhizoma Zingiberis,exact_chinese
MFH0043,姜（生姜、干姜）,姜,姜;生姜;干姜,JIANG;SHENG JIANG;GAN JIANG,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,JIANG,HERB005017,/Detail/?v=HERB005017&label=Herb,SHENG JIANG,生姜,Fresh Ginger,Rhizoma Zingiberis Recens,exact_chinese
MFH0044,枳椇子,枳椇子,枳椇子,ZHI JU ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,ZHI JU ZI,HERB007002,/Detail/?v=HERB007002&label=Herb,ZHI JU ZI,枳椇子,Hoveniae Dulcis Semen,NA,exact_chinese
MFH0045,枸杞子,枸杞子,枸杞子,GOU QI ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,GOU QI ZI,HERB001915,/Detail/?v=HERB001915&label=Herb,GOU QI ZI,枸杞子,fruit of Chinese Wolfberry,Fructus Lycii,exact_chinese
MFH0046,栀子,栀子,栀子,ZHI ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,ZHI ZI,HERB007046,/Detail/?v=HERB007046&label=Herb,ZHI ZI,栀子,fruit of Cape Jasmine,Fructus Gardeniae,exact_chinese
MFH0047,砂仁,砂仁,砂仁,SHA REN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,SHA REN,HERB004853,/Detail/?v=HERB004853&label=Herb,SHA REN,砂仁,Villous Amomum Fruit,Fructus Amomi,exact_chinese
MFH0048,胖大海,胖大海,胖大海,PANG DA HAI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,PANG DA HAI,HERB004316,/Detail/?v=HERB004316&label=Herb,PANG DA HAI,胖大海,Boat-fruited Sterculia Seed,Semen Sterculiae Lychnophorae,exact_chinese
MFH0048,胖大海,胖大海,胖大海,PANG DA HAI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,PANG DA HAI,HERB004317,/Detail/?v=HERB004317&label=Herb,PANG DA HAI,胖大海,NA,Sterculia lychnophora,exact_chinese
MFH0049,茯苓,茯苓,茯苓,FU LING,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active,FU LING,HERB001749,/Detail/?v=HERB001749&label=Herb,FU LING,茯苓,Indian Bread,Poria,exact_chinese
